retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
301,UK-11-1145,U511,"Bread, white, average",ukfct,1004,236,48.7,8.7,2.1,3.0,2.9,N,N,N,0.0,155,96,22,400,134,1.50,0.14,7,NA,0.49,NA,0.7,0,0.08,NA,NA,,NA,29,0.22,0.07,1.6,N,0.07,N,29,0,0
352,UK-11-938,A501,"Breakfast cereal, crunchy clusters type, without nuts, unfortified",ukfct,1687,399,71.0,7.2,11.6,25.3,7.2,4150,4470,2330,N,40,232,72,41,310,2.68,0.30,6,NA,2.11,NA,1.6,0,1.38,NA,NA,,NA,90,1.02,1.06,4.0,0.32,0.17,8.9,90,Tr,Tr
3006,UK-13-502,C500,"Broccoli, green, raw",ukfct,146,34,3.2,4.3,0.6,1.9,4.0,150,70,250,0.0,48,81,22,9,397,1.06,0.08,1,NA,0.28,NA,0.7,0,1.72,NA,NA,185.00,NA,95,0.15,0.12,0.8,0.61,0.13,4.1,95,79,581
,UK-11-006,A514,"Buckwheat, groats",ukfct,1522,364,84.9,8.1,1.5,0.4,,,,,,12,150,48,1,220,2.00,0.70,9,NA,1.60,NA,2.6,,Tr,NA,NA,,NA,N,0.28,0.07,2.8,1.20,0.40,N,N,0,
,UK-17-685,T500,"Butter, salted",ukfct,3059,744,0.6,0.6,82.2,0.6,0.0,52090,20910,2830,213.2,18,23,2,730,27,Tr,0.01,Tr,NA,Tr,NA,0.1,958,1.85,NA,NA,7.40,NA,Tr,Tr,0.07,Tr,0.05,Tr,0.2,Tr,Tr,608
,UK-17-661,T501,"Butter, unsalted",ukfct,3059,744,0.6,0.6,82.2,0.6,0.0,52090,20910,2830,213.0,18,23,2,8,27,Tr,0.01,Tr,NA,Tr,NA,0.1,958,1.85,NA,NA,7.40,NA,Tr,Tr,0.07,Tr,0.05,Tr,0.2,Tr,Tr,608
1,UK-12-346,L500,"Cheese, Cheddar, English",ukfct,1725,416,0.1,25.4,34.9,0.1,0.0,21680,9430,1100,97.0,739,505,29,723,75,0.30,0.03,6,NA,0.03,NA,4.1,364,0.52,NA,NA,4.70,NA,31,0.03,0.39,0.1,0.50,0.15,4.4,31,Tr,141
1,UK-12-539,L502,"Cheese, cottage, plain",ukfct,431,103,3.1,9.4,6.0,3.1,0.0,3240,1720,210,22.0,127,171,13,250,161,Tr,Tr,4,NA,Tr,NA,0.6,64,0.14,NA,NA,,NA,22,0.05,0.24,0.2,0.30,0.05,5.1,22,Tr,18
1,UK-12-525,L506,"Cheese, Feta",ukfct,1037,250,1.5,15.6,20.2,1.5,0.0,13700,4100,600,70.0,360,280,20,1000,95,0.20,0.07,5,NA,Tr,NA,0.9,220,0.37,NA,NA,,NA,23,0.04,0.21,0.2,0.36,0.07,2.4,23,Tr,33
1,UK-12-360,L503,"Cheese, Mozzarella, fresh",ukfct,1067,257,Tr,18.6,20.3,Tr,0.0,13750,5040,760,58.0,362,267,15,395,51,Tr,Tr,6,NA,0.02,NA,2.7,258,0.31,NA,NA,,NA,20,0.03,0.40,0.1,0.25,0.10,2.2,20,Tr,152
1,UK-12-527,L505,"Cheese, processed, plain",ukfct,1234,297,5.0,17.8,23.0,5.0,0.0,14320,6340,830,85.0,610,768,27,1000,178,0.50,Tr,5,NA,0.04,NA,2.6,270,0.55,NA,NA,1.60,NA,15,0.06,0.25,0.1,0.60,0.07,5.6,15,Tr,95
1,UK-12-176,L511,"Cheese, Ricotta",ukfct,599,144,2.0,9.4,11.0,2.0,,6900,2700,500,50.0,240,170,13,100,110,0.40,N,N,NA,Tr,NA,1.3,185,0.03,NA,NA,,NA,N,0.02,0.19,0.1,N,0.03,N,N,Tr,92
151,UK-14-335,E511,"Cherries, glace",ukfct,1256,294,78.1,0.4,Tr,N,N,Tr,Tr,Tr,0.0,56,9,5,27,24,0.90,0.08,Tr,NA,Tr,NA,0.1,0,Tr,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,7
151,UK-14-069,E504,"Cherries, West Indian, flesh only",ukfct,102,24,5.0,0.4,0.4,5.0,,N,N,N,0.0,11,15,18,5,110,0.20,N,N,NA,N,NA,N,0,N,NA,NA,,NA,N,0.02,0.07,0.4,0.31,0.01,N,N,1720,315
856,UK-18-304,N500,"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",ukfct,589,142,0.0,12.2,10.3,0.0,,3000,4500,2100,64.0,5,120,14,50,180,0.30,0.04,8,NA,0.01,NA,0.7,36,0.08,NA,NA,,NA,4,0.04,0.08,4.9,0.71,0.30,1.0,4,0,Tr
,UK-13-873,G516,Chilli powder,ukfct,N,N,N,13.5,14.3,7.2,34.8,2460,3210,8010,0.0,330,300,149,4000,1950,17.30,1.00,N,NA,1.70,NA,4.3,0,N,NA,NA,105.70,NA,28,0.25,0.94,11.6,0.89,2.10,N,28,1,17790
,UK-17-719,G517,Chilli sauce,ukfct,169,40,7.3,1.3,0.8,6.9,2.2,Tr,Tr,Tr,0.0,17,28,15,1250,140,2.80,0.07,Tr,NA,0.17,NA,0.1,0,1.97,NA,NA,,NA,10,0.01,0.09,0.6,0.22,0.10,1.0,10,8,570
,UK-17-491,I509,"Chocolate, plain",ukfct,2137,510,63.5,5.0,28.0,62.6,N,16800,9000,1000,6.0,33,140,89,6,300,2.30,0.71,4,NA,0.63,NA,1.3,15,1.44,NA,NA,2.30,NA,12,0.04,0.06,0.4,0.30,0.03,3.0,12,0,15
,UK-13-874,G518,"Cinnamon, ground",ukfct,N,N,N,4.0,1.2,2.2,53.1,350,250,70,0.0,1002,64,60,10,431,8.32,0.34,3,NA,17.47,NA,1.8,0,N,NA,NA,31.20,NA,6,0.02,0.04,1.3,0.36,0.16,N,6,4,177
,UK-12-545,V501,Cocoa powder,ukfct,1301,312,11.5,18.5,21.7,Tr,N,12800,7200,600,0.0,130,660,520,N,1500,10.50,3.90,N,NA,N,NA,6.9,0,0.68,NA,NA,1.50,NA,38,0.16,0.06,1.7,N,0.07,N,38,0,40
2203,UK-14-820,H501,Coconut milk,ukfct,95,22,4.9,0.3,0.3,4.9,,200,Tr,Tr,0.0,29,30,30,110,280,0.10,0.04,N,NA,N,NA,0.1,0,Tr,NA,NA,,NA,N,0.03,0.06,0.1,0.04,0.03,N,N,2,0
,UK-17-158,V502,"Coffee, powder, instant",ukfct,320,75,4.5,14.6,Tr,0.0,0.0,Tr,Tr,Tr,0.0,140,310,330,81,3780,4.60,0.62,9,NA,2.10,NA,1.1,0,Tr,NA,NA,4.30,NA,11,0.04,0.21,24.8,Tr,0.02,67.0,11,0,N
,UK-17-175,V503,Cola,ukfct,174,41,10.9,Tr,0.0,10.9,0.0,0,0,0,0.0,6,30,1,5,1,Tr,Tr,Tr,NA,Tr,NA,Tr,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-11-901,A502,"Couscous, plain, raw",ukfct,1549,364,79.2,12.0,2.1,2.3,3.7,300,260,840,0.0,28,238,59,4,287,2.00,0.36,5,NA,1.07,NA,1.8,0,0.13,NA,NA,,NA,28,0.28,0.06,2.6,0.59,0.15,3.2,28,0,0
151,UK-14-073,E501,Cranberries,ukfct,65,15,3.4,0.4,0.1,3.4,,Tr,Tr,Tr,0.0,12,11,7,2,95,0.70,0.05,Tr,NA,0.10,NA,0.2,0,N,NA,NA,,NA,2,0.03,0.02,0.1,0.22,0.07,N,2,13,22
,UK-17-358,U505,Cream of tartar,ukfct,1005,239,0.0,0.0,0.0,0.0,,0,0,0,0.0,0,0,0,0,20780,0.00,0.00,0,NA,0.00,NA,0.0,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-12-332,L519,"Cream, fresh, single",ukfct,798,193,2.2,3.3,19.1,2.2,0.0,12150,5070,630,55.0,89,79,8,29,104,Tr,Tr,N,NA,Tr,NA,0.3,291,0.47,NA,NA,,NA,5,0.03,0.19,0.1,0.30,0.03,2.8,5,1,169
,UK-12-333,L512,"Cream, fresh, whipping",ukfct,1568,381,2.7,2.0,40.3,2.7,0.0,25230,11690,1130,105.0,58,59,6,25,86,Tr,Tr,N,NA,Tr,NA,0.2,399,1.32,NA,NA,,NA,7,0.02,0.17,Tr,0.22,0.04,1.4,7,1,247
3776,UK-13-234,D500,"Curly kale, raw",ukfct,140,33,1.4,3.4,1.6,1.3,N,200,100,900,0.0,130,61,34,43,450,1.70,0.03,2,NA,0.80,NA,0.4,0,1.70,NA,NA,623.00,NA,120,0.08,0.09,1.0,0.09,0.26,0.5,120,110,3145
151,UK-14-074,E510,Currants,ukfct,1139,267,67.8,2.3,0.4,67.8,,N,N,N,0.0,93,71,30,14,720,1.30,0.81,N,NA,0.70,NA,0.3,0,N,NA,NA,,NA,4,0.16,0.05,0.9,0.07,0.23,4.8,4,Tr,6
,UK-13-876,G520,Curry powder,ukfct,979,233,26.1,9.5,10.8,N,N,N,N,N,0.0,640,270,280,450,1830,58.30,1.04,N,NA,4.70,NA,4.1,0,N,NA,NA,,NA,56,0.25,0.28,3.5,N,0.10,N,56,1,100
,UK-11-1138,K503,Custard powder,ukfct,1508,354,92.0,0.6,0.7,Tr,N,100,100,300,0.0,2,17,2,378,3,0.10,0.05,Tr,NA,N,NA,0.5,0,Tr,NA,NA,,NA,2,0.02,Tr,Tr,Tr,Tr,Tr,2,0,0
,UK-17-299,X508,"Dips, sour-cream based, assorted flavours",ukfct,1482,360,4.0,2.9,37.0,2.0,N,N,N,N,60.0,72,79,10,330,130,0.40,0.98,Tr,NA,0.10,NA,0.9,N,N,NA,NA,,NA,N,N,N,N,N,N,N,N,N,N
,UK-17-701,X510,"Dressing, French",ukfct,1384,335,11.7,0.3,32.2,6.7,0.5,N,N,N,0.0,N,N,N,600,N,N,N,N,NA,N,NA,N,0,N,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-17-717,X509,"Dressing, thousand island",ukfct,873,210,15.9,0.7,16.4,13.4,0.4,2040,6380,6960,N,24,34,9,470,130,0.30,0.05,1,NA,0.07,NA,0.2,N,4.40,NA,NA,,NA,4,0.01,0.02,0.1,0.10,0.02,1.0,4,Tr,N
,UK-17-498,V504,"Drinking chocolate, powder",ukfct,1598,377,79.7,6.4,5.8,77.7,N,3410,1810,290,0.0,39,193,132,228,495,3.50,3.69,N,NA,1.00,NA,5.6,0,0.41,NA,NA,,NA,7,0.02,0.06,0.6,0.30,0.01,9.0,7,0,N
,UK-17-672,V505,"Energy drink, carbonated",ukfct,178,42,11.1,Tr,0.0,11.1,0.0,0,0,0,0.0,N,N,N,60,N,N,N,N,NA,N,NA,N,0,0.00,NA,NA,,NA,N,N,N,N,N,N,Tr,N,N,N
,UK-13-827,G510,Fennel seeds,ukfct,N,N,N,15.8,14.9,N,,500,9900,1700,0.0,1200,510,390,88,1660,12.30,1.07,N,NA,6.50,NA,3.7,0,N,NA,NA,,NA,0,0.41,0.35,10.3,N,N,N,0,0,81
,UK-11-1045,A503,"Flour, corn",ukfct,1508,354,92.0,0.6,0.7,Tr,N,100,100,300,0.0,2,17,2,11,3,0.10,Tr,Tr,NA,N,NA,0.5,0,Tr,NA,NA,,NA,2,0.02,Tr,Tr,Tr,Tr,Tr,2,0,0
,UK-11-896,A504,"Flour, gram",ukfct,1498,353,57.0,22.7,5.4,2.3,10.1,610,1010,2800,0.0,58,220,62,2,297,2.63,0.27,4,NA,1.64,NA,1.5,0,2.54,NA,NA,8.92,NA,193,0.45,0.17,1.9,1.24,0.45,8.4,193,Tr,32
,UK-11-021,A505,"Flour, rice",ukfct,1531,366,80.1,6.4,0.8,N,,,,,,24,130,23,5,240,1.90,0.20,N,NA,N,NA,N,,N,NA,NA,,NA,N,0.10,0.05,2.1,N,0.20,N,N,0,
,UK-11-898,B503,"Flour, soya",ukfct,1711,409,18.7,34.3,22.4,6.4,18.0,2740,3810,11360,0.3,182,668,245,1,1867,8.42,1.31,7,NA,2.43,NA,4.1,0,4.33,NA,NA,25.30,NA,245,0.38,0.26,1.9,1.79,0.40,14.0,245,0,Tr
151,UK-14-336,E516,"Fruit cocktail, canned in juice, whole contents",ukfct,194,45,11.7,0.4,Tr,11.7,N,Tr,Tr,Tr,0.0,9,14,7,3,95,0.40,0.04,Tr,NA,0.10,NA,0.1,0,N,NA,NA,,NA,6,0.01,0.01,0.3,0.05,0.04,0.3,6,14,54
,UK-14-097,V506,"Fruit cocktail, canned in syrup, whole contents",ukfct,244,57,14.8,0.4,Tr,14.8,N,Tr,Tr,Tr,0.0,5,9,5,3,95,0.30,0.02,Tr,NA,0.10,NA,0.1,0,N,NA,NA,,NA,5,0.02,0.01,0.4,0.05,0.03,0.1,5,4,54
,UK-17-847,V507,"Fruit juice drink/squash, diluted",ukfct,29,7,1.8,0.0,Tr,1.8,Tr,Tr,Tr,Tr,0.0,1,0,0,8,5,Tr,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,0,Tr,Tr,0.0,Tr,0.00,Tr,0,N,138
,UK-17-738,V508,"Fruit juice drink/squash, undiluted",ukfct,144,34,8.9,0.1,Tr,8.9,Tr,Tr,Tr,Tr,0.0,6,2,1,40,27,Tr,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,2,Tr,Tr,0.1,Tr,0.01,Tr,2,N,690
,UK-13-829,G523,Garam masala,ukfct,1592,379,45.2,15.6,15.1,N,N,N,N,N,0.0,760,390,330,97,1450,32.60,1.62,N,NA,6.00,NA,3.8,0,N,NA,NA,,NA,0,0.35,0.33,2.5,N,N,N,0,0,340
3776,UK-13-830,G524,Garlic powder,ukfct,1045,246,42.7,18.7,1.2,4.2,,200,Tr,400,0.0,65,220,61,19,1360,3.90,0.15,5,NA,1.00,NA,2.6,0,0.03,NA,NA,,NA,0,N,0.12,0.7,N,0.99,N,0,0,Tr
,UK-17-360,K504,Gelatine,ukfct,1435,338,0.0,84.4,0.0,0.0,0.0,0,0,0,0.0,250,32,15,330,7,2.10,0.05,19,NA,0.13,NA,0.2,0,0.00,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,0
,UK-17-640,T506,"Ghee, butter",ukfct,3611,878,Tr,0.1,97.6,Tr,0.0,58420,25700,4560,246.0,1,Tr,Tr,1,Tr,Tr,Tr,Tr,NA,Tr,NA,Tr,922,5.76,NA,NA,,NA,0,0.00,Tr,Tr,Tr,Tr,Tr,0,0,1863
,UK-13-246,D505,"Gherkins, pickled, drained",ukfct,61,14,2.6,0.9,0.1,2.4,1.5,Tr,Tr,Tr,0.0,20,22,11,690,110,0.70,0.10,N,NA,0.10,NA,0.3,0,N,NA,NA,,NA,6,Tr,0.02,0.1,N,N,N,6,1,2
3776,UK-13-832,G554,"Ginger, ground",ukfct,1208,284,60.0,7.4,3.3,19.8,14.1,1570,950,120,0.0,97,140,130,34,910,46.80,0.45,N,NA,28.00,NA,4.7,0,N,NA,NA,,NA,0,0.05,0.19,5.1,1.27,1.01,N,0,0,220
1522,UK-19-496,O501,Ham,ukfct,451,107,1.0,18.4,3.3,1.0,0.1,1100,1390,520,58.0,7,340,24,800,340,0.70,0.12,11,NA,0.01,NA,1.8,Tr,0.04,NA,NA,,NA,19,0.80,0.17,6.5,1.03,0.61,3.0,19,Tr,Tr
2203,UK-14-874,H502,"Hazelnuts, kernel only",ukfct,2685,650,6.0,14.1,63.5,4.0,6.9,4550,49230,6620,0.0,140,300,160,6,730,3.20,1.23,2,NA,4.90,NA,2.1,0,24.98,NA,NA,,NA,72,0.43,0.16,1.1,1.51,0.59,76.0,72,0,0
,UK-17-050,I507,Honey,ukfct,1229,288,76.4,0.4,0.0,76.4,0.0,0,0,0,0.0,5,17,2,11,51,0.40,0.05,1,NA,0.30,NA,0.9,0,0.00,NA,NA,,NA,N,Tr,0.05,0.2,N,N,N,N,0,0
,UK-12-508,I501,"Ice cream, dairy, vanilla, soft scoop",ukfct,711,169,22.0,3.2,8.2,22.0,0.2,5190,2130,320,29.4,104,85,13,63,163,0.06,0.02,1,NA,Tr,NA,0.3,91,0.49,NA,NA,,NA,6,0.10,0.28,0.2,1.05,0.04,2.2,6,1,45
,UK-12-237,W501,"Jelly, made with water",ukfct,260,61,15.1,1.2,Tr,15.1,0.0,0,0,0,0.0,7,1,Tr,5,5,0.40,0.01,N,NA,N,NA,N,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
151,UK-14-371,E502,"Kiwi fruit, flesh only, raw",ukfct,185,44,8.6,0.8,0.9,8.3,2.7,70,100,520,0,33,33,13,1,289,0.22,0.17,Tr,NA,0.08,NA,0.1,0,2.17,NA,NA,,NA,33,Tr,Tr,0.3,0.42,0.09,N,33,71,40
1056,UK-18-481,O502,"Lamb, mince, raw",ukfct,817,196,0.0,19.1,13.3,0.0,0.0,6200,5300,600,77.0,17,190,21,69,310,1.60,0.08,2,NA,0.01,NA,3.5,5,0.18,NA,NA,,NA,2,0.12,0.18,4.8,0.90,0.20,2.0,2,0,Tr
151,UK-14-130,E520,"Lemons, flesh only, raw, weighed with peel and pips",ukfct,38,9,1.4,0.5,0.2,1.4,,100,Tr,100,0.0,17,10,6,2,90,0.30,Tr,1,NA,N,NA,0.1,0,N,NA,NA,,NA,7,0.03,0.01,0.1,0.12,0.05,N,7,34,4
,UK-17-078,W502,Marmalade,ukfct,1114,261,69.5,0.1,0.0,69.5,0.5,0,0,0,0.0,26,6,3,64,35,0.20,0.03,1,NA,0.01,NA,0.1,0,Tr,NA,NA,,NA,5,Tr,Tr,Tr,Tr,Tr,Tr,5,10,50
,UK-17-654,L507,"Mayonnaise, standard, retail",ukfct,2824,686,2.4,1.1,74.8,2.4,0.0,5650,45550,19930,57.2,2,5,Tr,131,4,0.16,Tr,Tr,NA,Tr,NA,0.1,78,22.10,NA,NA,,NA,9,Tr,0.10,Tr,0.15,0.09,0.7,9,Tr,Tr
2203,UK-14-826,H500,Melon seeds,ukfct,2418,583,9.9,28.5,47.7,N,,12000,8300,26200,0.0,71,690,510,99,650,7.60,2.39,N,NA,2.30,NA,4.0,0,N,NA,NA,,NA,58,0.17,0.15,2.1,N,N,N,58,Tr,Tr
2151,UK-12-520,L508,"Milk, condensed, whole, sweetened",ukfct,1310,310,55.5,7.4,8.0,55.5,0.0,4990,2300,240,29.0,290,240,29,90,360,0.23,Tr,3,NA,Tr,NA,1.0,110,0.19,NA,NA,0.36,NA,15,0.09,0.46,0.3,0.85,0.07,3.9,15,4,70
2151,UK-12-324,L509,"Milk, evaporated, light",ukfct,449,107,10.3,7.8,4.1,10.3,0.0,2500,1090,150,16.9,260,233,25,115,336,Tr,Tr,3,NA,Tr,NA,1.0,50,0.11,NA,NA,,NA,8,0.07,0.42,0.2,0.75,0.04,4.0,8,1,21
2151,UK-12-521,L510,"Milk, skimmed, dried, fortified",ukfct,1482,348,52.9,36.1,0.6,52.9,0.0,400,200,Tr,12.0,1280,970,130,550,1590,0.27,Tr,11,NA,Tr,NA,4.0,550,0.01,NA,NA,,NA,51,0.38,1.63,1.0,3.28,0.60,20.1,51,13,5
,UK-17-811,X512,"Mint sauce, homemade",ukfct,358,85,19.4,0.8,0.1,N,N,Tr,Tr,Tr,0.0,39,17,0,5,59,1.73,N,N,NA,0.25,NA,N,0,0.87,NA,NA,,NA,19,0.02,0.06,0.2,N,N,N,19,5,129
,UK-13-886,G515,Mixed curry spices,ukfct,N,N,N,13.2,13.3,N,N,N,N,N,0.0,490,319,234,1154,1878,32.33,1.09,N,NA,3.50,NA,4.1,0,N,NA,NA,,NA,33,0.30,0.69,6.9,N,N,N,33,1,11946
,UK-13-884,G521,"Mixed herbs, dried",ukfct,1092,261,36.3,12.1,8.5,N,N,N,N,N,0.0,1653,235,280,81,1873,68.97,0.73,N,NA,9.84,NA,4.6,0,N,NA,NA,,NA,N,N,0.34,5.0,N,N,N,N,43,8100
,UK-17-362,G533,Mustard powder,ukfct,1884,452,20.7,28.9,28.7,N,N,1500,19800,5400,0.0,330,180,260,5,940,9.50,0.20,N,NA,1.70,NA,6.5,0,N,NA,NA,,NA,0,N,N,N,N,N,N,0,0,N
,UK-17-031,T507,"Oil, coconut",ukfct,3696,899,0.0,Tr,99.9,0.0,0.0,86500,6000,1500,0.0,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,NA,Tr,NA,Tr,0,0.66,NA,NA,1.00,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr
,UK-17-038,T502,"Oil, olive",ukfct,3696,899,0.0,Tr,99.9,0.0,0.0,14300,73000,8200,0.0,Tr,Tr,Tr,Tr,Tr,0.40,0.01,Tr,NA,Tr,NA,Tr,0,5.10,NA,NA,57.50,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,N
,UK-17-043,T509,"Oil, sesame",ukfct,3692,898,0.0,0.2,99.7,0.0,0.0,14600,37500,43400,0.0,10,N,Tr,2,20,0.10,Tr,Tr,NA,Tr,NA,Tr,0,N,NA,NA,,NA,Tr,0.01,0.07,0.1,Tr,Tr,Tr,Tr,0,Tr
,UK-17-045,T508,"Oil, sunflower",ukfct,3696,899,0.0,Tr,99.9,0.0,0.0,12000,20500,63300,0.0,Tr,Tr,Tr,Tr,Tr,0.10,0.01,Tr,NA,Tr,NA,Tr,0,49.22,NA,NA,6.30,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr
3776,UK-14-340,D504,"Olives, green, in brine, drained, flesh and skin",ukfct,422,103,Tr,0.9,11.0,Tr,N,1700,5700,1300,0.0,61,17,22,1330,91,1.00,0.23,N,NA,N,NA,N,0,1.99,NA,NA,,NA,Tr,Tr,Tr,Tr,0.02,0.02,Tr,Tr,0,180
