retention_factor,Retention Description,usda_rf_calcium,usda_rf_iron,usda_rf_magnesium,usda_rf_phosphorus,usda_rf_potassium,usda_rf_sodium,usda_rf_zinc,usda_rf_copper,usda_rf_vitc,usda_rf_vitb1,usda_rf_vitb2,usda_rf_vitb3,usda_rf_vitb6,usda_rf_folate_food,usda_rf_vitb9,usda_rf_folate_total,usda_rf_choline,usda_rf_vitb12,usda_rf_vita_iu,usda_rf_vita_re,usda_rf_alcohol,usda_rf_carotene_beta,usda_rf_carotene_alpha,usda_rf_cryptoxanthin,usda_rf_lycopene,usda_rf_lutein
253,"FRUITS(DRIED),SAUTEED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
255,"FRUITS(DRIED),STEWED",95,100,100,100,90,100,100,90,70,80,90,90,90,50,50,50,100,100,75,75,100,75,75,75,75,75
257,"FRUITS(DRIED),REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,100,95,95,95,100,100,95,95,100,95,95,95,95,95
270,"FRUITS,CITRUS,CKD",100,100,100,100,100,100,100,100,95,95,95,95,95,70,70,70,100,100,95,95,100,95,95,95,95,95
1251,"PORK,FRESH,BROILED",75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75,100,75,75,75,75,75
1252,"PORK,FRESH,FRIED,WO/COATING",75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75,100,75,75,75,75,75
1253,"PORK,FRESH,FRIED,W/COATING",75,80,95,90,85,90,100,95,80,70,100,80,65,85,85,85,100,90,75,75,100,75,75,75,75,75
1254,"PORK,FRESH,ROASTED",95,100,75,85,80,80,100,100,80,60,95,85,85,95,95,95,100,80,75,75,100,75,75,75,75,75
1301,"PORK,FRESH,ROAST,SIMMERED WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1302,"PORK,FRESH,ROAST,SIMMERED W/DRIPPNG",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1351,"PORK,FRSH,CHOPS,BRWN,SIMMRD,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1352,"PORK,FRSH,CHOPS,BRWN,SIMMRD,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1353,"PORK,FRSH,CHOPS,SIMMERED,WO/DRIPPNG",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,100,60,75,75,100,75,75,75,75,75
1354,"PORK,FRSH,CHOPS,SIMMERED,W/DRIPPNGS",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1401,"PORK,FRSH,GROUND,BRWN,SIMMR,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,90,60,75,75,100,75,75,75,75,75
1402,"PORK,FRSH,GROUND,BRWN,SIMMRD,W/DRIP",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,100,75,80,80,100,80,80,80,80,80
1405,"PORK,FRSH,GROUND,SIMMERED,WO/DRIP",80,100,65,65,75,70,100,100,75,40,75,80,50,65,65,65,90,60,75,75,100,75,75,75,75,75
1406,"PORK,FRSH,GROUND,SIMMERED,W/DRIPPNG",100,100,100,100,100,100,100,100,80,55,90,95,65,70,70,70,90,75,80,80,100,80,80,80,80,80
