Food items,Units,Units,Remarks,Source,,,,,,,,,
Hot dog bun,1nos,42g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
Hamburger bun,1nos,43g,,"Gebhardt, Susan E., and Robin G. Thomas. 2002. Nutritive Value of Foods. U.S. Department of Agriculture, Agricultural Research Service, Home and Garden Bulletin 72",,,,,,,,,
Lasagne sheet,1nos,30g,,,,,,,,,,,
"Pizza base, raw",1nos,250g,,,,,,,,,,,
,,,,,,,,,,,,,
Bacon,1rasher,40g,,,,,,,,,,,
Chicken breast,1nos,272g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171077/measures,,,,,,,,,
Egg,1 no,50 g,,,,,,,,,,,
,0.5 no,25 g,,,,,,,,,,,
Egg yolk,1 no,16 g,,,,,,,,,,,
Egg white,1 no,34 g,,,,,,,,,,,
Prawn,1nos,25g,,,,,,,,,,,
Pomfret,1 medium,500g,,,,,,,,,,,
,,,,,,,,,,,,,
"Margarine, regular, 80% fat",1tbsp,14.2g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172349/measures,,,,,,,,,
"Sour cream, regular",1tbsp,15g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1097906/portions,,,,,,,,,
Cheese,1slice,30g,,,,,,,,,,,
"Cheese, cheddar",1slice,28g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173414/measures,,,,,,,,,
"Cheese, feta",1cube,17g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173420/measures,,,,,,,,,
Paneer,1cube,20g,,,,,,,,,,,
Salami,1slice,17g,,,,,,,,,,,
Ham,1slice,15g,,,,,,,,,,,
,,,,,,,,,,,,,
Lettuce,2 leaves (outer),48g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169249/measures,,,,,,,,,
,1 leaves (outer),24g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169249/measures,,,,,,,,,
Cabbage,3 leaves,45g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/measures,,,,,,,,,
,1 leaves,15g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169975/measures,,,,,,,,,
Cabbage,1 medium,400g,,,,,,,,,,,
Carrot,1 medium,60g,,,,,,,,,,,
Radish with leaves,1 medium,150g,,,,,,,,,,,
Potato,1 medium,70g,,BFP manual,,,,,,,,,
,1 small,35g,,,,,,,,,,,
Tomato,1 medium,50g,,,,,,,,,,,
,1 small,25g,,,,,,,,,,,
Cauliflower,1 medium,400g,,,,,,,,,,,
,15-25 florets,1/4 cauliflower,,,,,,,,,,,
,,,,,,,,,,,,,
Mushroom,1 medium,40g,,,,,,,,,,,
Capsicum,1 medium,50g,,,,,,,,,,,
Cucumber,1slice,20g,,,,,,,,,,,
,2slice,40g,,,,,,,,,,,
,1 medium,150g,,,,,,,,,,,
Drum stick,1nos,70g,,,,,,,,,,,
French beans,13medium,50g,,BFP manual,,,,,,,,,
,1nos,6g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1103337/portions,,,,,,,,,
